year,state,state_abbr,county,D_candidate_votes,R_candidate_votes,totalvotes,percent_republican,percent_democrat,%difference(d_favor),FIPS
2016,Vermont,VT,Rutland,13635,12479,29619,42.13173976,46.03463993,3.902900165,50021
2016,Vermont,VT,Washington,18594,7993,31086,25.71253941,59.81470759,34.10216818,50023
2016,Vermont,VT,Windham,14340,5454,22635,24.09542744,63.35321405,39.25778661,50025
2016,Vermont,VT,Windsor,17556,8605,29928,28.75233895,58.66078589,29.90844694,50027
2016,Virginia,VA,Accomack,6740,8583,15818,54.26096852,42.60968517,-11.65128335,51001
2016,Virginia,VA,Albemarle,33345,19259,56726,33.95092198,58.78256884,24.83164686,51003
2016,Virginia,VA,Alleghany,2166,4874,7325,66.53924915,29.56996587,-36.96928328,51005
2016,Virginia,VA,Amelia,2128,4708,7040,66.875,30.22727273,-36.64772727,51007
2016,Virginia,VA,Amherst,5057,9719,15396,63.12678618,32.84619382,-30.28059236,51009
2016,Virginia,VA,Appomattox,2023,5715,8011,71.33940831,25.25277743,-46.08663088,51011
2016,Virginia,VA,Arlington,92016,20186,121356,16.63370579,75.82319786,59.18949207,51013
2016,Virginia,VA,Augusta,8177,26163,36343,71.98910382,22.49951848,-49.48958534,51015
2016,Virginia,VA,Bath,603,1548,2253,68.70838881,26.76431425,-41.94407457,51017
2016,Virginia,VA,Bedford,9768,30659,42525,72.09641387,22.97001764,-49.12639624,51019
2016,Virginia,VA,Bland,453,2573,3139,81.96877987,14.43134756,-67.5374323,51021
2016,Virginia,VA,Botetourt,4494,13375,18739,71.37520679,23.98206948,-47.39313731,51023
2016,Virginia,VA,Brunswick,4481,3046,7669,39.71834659,58.43004303,18.71169644,51025
2016,Virginia,VA,Buchanan,1721,7296,9247,78.90126528,18.61144155,-60.28982373,51027
2016,Virginia,VA,Buckingham,3128,3950,7295,54.14667581,42.87868403,-11.26799178,51029
2016,Virginia,VA,Campbell,6664,19551,27535,71.0041765,24.20192482,-46.80225168,51031
2016,Virginia,VA,Caroline,6432,7147,14863,48.08585077,43.27524726,-4.810603512,51033
2016,Virginia,VA,Carroll,2559,10663,13668,78.01434006,18.72256365,-59.29177641,51035
2016,Virginia,VA,Charles City,2496,1476,4107,35.93864134,60.7742878,24.83564646,51036
2016,Virginia,VA,Charlotte,2155,3479,5808,59.90013774,37.10399449,-22.79614325,51037
2016,Virginia,VA,Chesterfield,81074,85045,176461,48.19478525,45.94442965,-2.250355603,51041
2016,Virginia,VA,Clarke,3051,4661,8213,56.75149154,37.14842323,-19.60306831,51043
2016,Virginia,VA,Craig,541,2140,2794,76.59269864,19.36292054,-57.2297781,51045
2016,Virginia,VA,Culpeper,7759,13349,22218,60.08191556,34.92213521,-25.15978036,51047
2016,Virginia,VA,Cumberland,2036,2697,4906,54.97350183,41.50020383,-13.473298,51049
2016,Virginia,VA,Dickenson,1335,4932,6440,76.58385093,20.72981366,-55.85403727,51051
2016,Virginia,VA,Dinwiddie,5765,7447,13575,54.85819521,42.46777164,-12.39042357,51053
2016,Virginia,VA,Essex,2542,2657,5408,49.13091716,47.00443787,-2.12647929,51057
2016,Virginia,VA,Fairfax,355133,157710,551183,28.61300149,64.43105103,35.81804954,51059
2016,Virginia,VA,Fauquier,12971,22127,37467,59.05730376,34.61979876,-24.437505,51061
2016,Virginia,VA,Floyd,2300,5293,8051,65.74338591,28.56787977,-37.17550615,51063
2016,Virginia,VA,Fluvanna,5760,7025,13597,51.66580863,42.3622858,-9.303522836,51065
2016,Virginia,VA,Franklin,7257,18569,26971,68.84802195,26.90667754,-41.94134441,51067
2016,Virginia,VA,Frederick,11932,26083,40440,64.49802176,29.50544016,-34.9925816,51069
2016,Virginia,VA,Giles,1950,5910,8212,71.96785192,23.74573794,-48.22211398,51071
2016,Virginia,VA,Gloucester,5404,13096,19619,66.75161833,27.54472705,-39.20689128,51073
2016,Virginia,VA,Goochland,4889,8384,14037,59.72786208,34.8293795,-24.89848258,51075
2016,Virginia,VA,Grayson,1407,5592,7285,76.76046671,19.3136582,-57.44680851,51077
2016,Virginia,VA,Greene,2924,5945,9608,61.8755204,30.43297252,-31.44254788,51079
2016,Virginia,VA,Greensville,2558,1737,4363,39.81205592,58.62938345,18.81732753,51081
2016,Virginia,VA,Halifax,6897,9704,17001,57.07899535,40.56820187,-16.51079348,51083
2016,Virginia,VA,Hanover,19382,39630,62753,63.15235925,30.88617277,-32.26618648,51085
2016,Virginia,VA,Henrico,93935,59857,163654,36.57533577,57.39853594,20.82320017,51087
2016,Virginia,VA,Henry,8198,15208,24106,63.08802788,34.00813076,-29.07989712,51089
2016,Virginia,VA,Highland,371,958,1391,68.8713156,26.67145938,-42.19985622,51091
2016,Virginia,VA,Isle of Wight,7881,12204,21075,57.90747331,37.39501779,-20.51245552,51093
2016,Virginia,VA,James City,19105,21306,43173,49.35028837,44.25219466,-5.098093716,51095
2016,Virginia,VA,King and Queen,1468,2099,3697,56.77576413,39.70787125,-17.06789289,51097
2016,Virginia,VA,King George,4007,7341,12059,60.8756945,33.22829422,-27.64740028,51099
2016,Virginia,VA,King William,2760,5975,9161,65.22213732,30.12771531,-35.09442201,51101
2016,Virginia,VA,Lancaster,2869,3523,6645,53.01730625,43.17531979,-9.841986456,51103
2016,Virginia,VA,Lee,1627,7543,9399,80.25321843,17.31035217,-62.94286626,51105
2016,Virginia,VA,Loudoun,100795,69949,183097,38.20324746,55.05005544,16.84680798,51107
2016,Virginia,VA,Louisa,6212,10528,17631,59.7130055,35.23339572,-24.47960978,51109
2016,Virginia,VA,Lunenburg,2227,3204,5586,57.35767991,39.86752596,-17.49015396,51111
2016,Virginia,VA,Madison,2203,4419,6979,63.31852701,31.56612695,-31.75240006,51113
2016,Virginia,VA,Mathews,1563,3517,5311,66.22105065,29.42948597,-36.79156468,51115
2016,Virginia,VA,Mecklenburg,6285,8288,14945,55.45667447,42.05419873,-13.40247574,51117
2016,Virginia,VA,Middlesex,2108,3670,6017,60.99385076,35.03407013,-25.95978062,51119
2016,Virginia,VA,Montgomery,20021,19459,43031,45.22088727,46.52692245,1.306035184,51121
2016,Virginia,VA,Nelson,3689,4154,8318,49.9398894,44.34960327,-5.590286126,51125
