,year,state,state_po,county,candidate,party,candidatevotes,totalvotes,percent_republican
41655,2016,Georgia,GA,Carroll,Donald Trump,republican,30029.0,44121,68.0605607307178
41658,2016,Georgia,GA,Catoosa,Donald Trump,republican,20876.0,26757,78.02070486227903
41661,2016,Georgia,GA,Charlton,Donald Trump,republican,2951.0,4016,73.48107569721115
41664,2016,Georgia,GA,Chatham,Donald Trump,republican,45688.0,112142,40.741203117476054
41667,2016,Georgia,GA,Chattahoochee,Donald Trump,republican,751.0,1390,54.02877697841727
41670,2016,Georgia,GA,Chattooga,Donald Trump,republican,6462.0,8252,78.30828889966068
41673,2016,Georgia,GA,Cherokee,Donald Trump,republican,80649.0,112043,71.9804003819962
41676,2016,Georgia,GA,Clarke,Donald Trump,republican,12717.0,44976,28.27508004268943
41679,2016,Georgia,GA,Clay,Donald Trump,republican,566.0,1273,44.46190102120974
41682,2016,Georgia,GA,Clayton,Donald Trump,republican,12645.0,92859,13.617419959293123
41685,2016,Georgia,GA,Clinch,Donald Trump,republican,1727.0,2455,70.34623217922606
41688,2016,Georgia,GA,Cobb,Donald Trump,republican,152912.0,330819,46.22225446543276
41691,2016,Georgia,GA,Coffee,Donald Trump,republican,9588.0,13915,68.90406036651096
41694,2016,Georgia,GA,Colquitt,Donald Trump,republican,9898.0,13624,72.65120375807399
41697,2016,Georgia,GA,Columbia,Donald Trump,republican,43085.0,64743,66.5477348902584
41700,2016,Georgia,GA,Cook,Donald Trump,republican,4176.0,6057,68.94502228826151
41703,2016,Georgia,GA,Coweta,Donald Trump,republican,42533.0,61745,68.88492995384242
41706,2016,Georgia,GA,Crawford,Donald Trump,republican,3635.0,5176,70.22797527047913
41709,2016,Georgia,GA,Crisp,Donald Trump,republican,4549.0,7512,60.55644302449414
41712,2016,Georgia,GA,Dade,Donald Trump,republican,5051.0,6242,80.91957705863506
41715,2016,Georgia,GA,Dawson,Donald Trump,republican,9900.0,11765,84.14789630259244
41718,2016,Georgia,GA,Decatur,Donald Trump,republican,6020.0,10286,58.526152051331906
41721,2016,Georgia,GA,DeKalb,Donald Trump,republican,51468.0,314757,16.351661758118166
41724,2016,Georgia,GA,Dodge,Donald Trump,republican,5021.0,7009,71.63646739905836
